pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
344,1,NULO,4,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
345,0,REAL,43,PAYLOAD,27,2,N,5,1,1145d10ea689307a,45d066a2b0da3167
346,2,NULO,60,PAYLOAD,44,4,S,8,1,4cfd64574be51110,958794348209a838
347,2,NULO,59,PAYLOAD,43,3,U,8,1,4cfd64574be51110,958794348209a838
348,0,PHAN_STRICT_POSTHOC,1,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
349,0,REAL,29,PAYLOAD,13,3,U,2,1,1145d10ea689307a,45d066a2b0da3167
350,0,PHAN_STRICT_POSTHOC,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
351,0,PHAN_STRICT_POSTHOC,35,PAYLOAD,19,4,S,3,1,f7f31345a1f8cd81,d6fdbd858942d985
352,2,REAL,49,PAYLOAD,33,3,U,6,0,f7f31345a1f8cd81,d6fdbd858942d985
353,2,NULO,18,PAYLOAD,2,2,N,0,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
354,0,REAL,9,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
355,2,PHAN_STRICT_POSTHOC,57,PAYLOAD,41,1,A,8,1,f7f31345a1f8cd81,d6fdbd858942d985
356,0,PHAN_STRICT_POSTHOC,43,PAYLOAD,27,2,N,5,1,f7f31345a1f8cd81,d6fdbd858942d985
357,1,PHAN_STRICT_POSTHOC,1,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
358,0,REAL,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
359,1,NULO,27,PAYLOAD,11,1,A,2,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
360,1,NULO,32,PAYLOAD,16,1,A,3,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
361,0,NULO,21,PAYLOAD,5,0,J,1,1,4cfd64574be51110,958794348209a838
362,1,REAL,8,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
363,2,REAL,40,PAYLOAD,24,4,S,4,0,f7f31345a1f8cd81,d6fdbd858942d985
364,0,NULO,40,PAYLOAD,24,4,S,4,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
365,2,NULO,39,PAYLOAD,23,3,U,4,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
366,2,REAL,5,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
367,2,NULO,29,PAYLOAD,13,3,U,2,1,4cfd64574be51110,958794348209a838
368,0,PHAN_STRICT_POSTHOC,30,PAYLOAD,14,4,S,2,1,f7f31345a1f8cd81,d6fdbd858942d985
369,1,PHAN_STRICT_POSTHOC,15,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
370,0,REAL,54,PAYLOAD,38,3,U,7,1,1145d10ea689307a,45d066a2b0da3167
371,1,NULO,15,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
372,0,NULO,30,PAYLOAD,14,4,S,2,1,4cfd64574be51110,958794348209a838
373,1,NULO,12,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
374,2,REAL,55,PAYLOAD,39,4,S,7,1,1145d10ea689307a,45d066a2b0da3167
375,2,REAL,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
376,2,REAL,24,PAYLOAD,8,3,U,1,0,f7f31345a1f8cd81,d6fdbd858942d985
377,0,REAL,1,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
378,2,NULO,53,PAYLOAD,37,2,N,7,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
379,0,NULO,19,PAYLOAD,3,3,U,0,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
380,1,REAL,39,PAYLOAD,23,3,U,4,0,f7f31345a1f8cd81,d6fdbd858942d985
381,2,PHAN_STRICT_POSTHOC,15,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
382,0,REAL,57,PAYLOAD,41,1,A,8,1,1145d10ea689307a,45d066a2b0da3167
383,0,PHAN_STRICT_POSTHOC,52,PAYLOAD,36,1,A,7,1,f7f31345a1f8cd81,d6fdbd858942d985
384,1,PHAN_STRICT_POSTHOC,23,PAYLOAD,7,2,N,1,0,f7f31345a1f8cd81,d6fdbd858942d985
385,2,NULO,44,PAYLOAD,28,3,U,5,1,4cfd64574be51110,958794348209a838
386,2,REAL,18,PAYLOAD,2,2,N,0,0,f7f31345a1f8cd81,d6fdbd858942d985
387,2,PHAN_STRICT_POSTHOC,22,PAYLOAD,6,1,A,1,0,f7f31345a1f8cd81,d6fdbd858942d985
388,2,NULO,42,PAYLOAD,26,1,A,5,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
