pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
60,0,NULO,29,PAYLOAD,25,0,J,5,0,ac38ecf3e7ea6c8f,717aace61ce4b072
61,0,REAL,32,PAYLOAD,28,3,U,5,1,1145d10ea689307a,d2c861a98ef8a254
62,1,REAL,21,PAYLOAD,17,2,N,3,1,1145d10ea689307a,d2c861a98ef8a254
63,0,REAL,42,PAYLOAD,38,3,U,7,1,1145d10ea689307a,d2c861a98ef8a254
64,0,REAL,4,PAYLOAD,0,0,J,0,0,f7f31345a1f8cd81,e21a13b453180fa1
65,1,REAL,1,HEADER,-1,-1,,-1,1,1145d10ea689307a,d2c861a98ef8a254
66,1,NULO,29,PAYLOAD,25,0,J,5,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
67,0,PHAN_STRICT_POSTHOC,9,PAYLOAD,5,0,J,1,1,f7f31345a1f8cd81,e21a13b453180fa1
68,0,REAL,9,PAYLOAD,5,0,J,1,1,1145d10ea689307a,d2c861a98ef8a254
69,0,PHAN_STRICT_POSTHOC,23,PAYLOAD,19,4,S,3,1,f7f31345a1f8cd81,e21a13b453180fa1
70,1,REAL,4,PAYLOAD,0,0,J,0,0,f7f31345a1f8cd81,e21a13b453180fa1
71,0,PHAN_STRICT_POSTHOC,48,PAYLOAD,44,4,S,8,1,f7f31345a1f8cd81,e21a13b453180fa1
72,1,REAL,35,PAYLOAD,31,1,A,6,0,f7f31345a1f8cd81,e21a13b453180fa1
73,1,PHAN_STRICT_POSTHOC,44,PAYLOAD,40,0,J,8,0,f7f31345a1f8cd81,e21a13b453180fa1
74,1,NULO,12,PAYLOAD,8,3,U,1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
75,0,PHAN_STRICT_POSTHOC,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,e21a13b453180fa1
76,1,NULO,2,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
77,1,PHAN_STRICT_POSTHOC,8,PAYLOAD,4,4,S,0,1,f7f31345a1f8cd81,e21a13b453180fa1
78,1,PHAN_STRICT_POSTHOC,37,PAYLOAD,33,3,U,6,0,f7f31345a1f8cd81,e21a13b453180fa1
79,1,PHAN_STRICT_POSTHOC,48,PAYLOAD,44,4,S,8,1,f7f31345a1f8cd81,e21a13b453180fa1
80,0,NULO,17,PAYLOAD,13,3,U,2,1,4cfd64574be51110,9cbcacc40de0f619
81,1,PHAN_STRICT_POSTHOC,1,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,e21a13b453180fa1
82,1,PHAN_STRICT_POSTHOC,17,PAYLOAD,13,3,U,2,1,f7f31345a1f8cd81,e21a13b453180fa1
83,0,NULO,2,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
84,1,PHAN_STRICT_POSTHOC,10,PAYLOAD,6,1,A,1,0,f7f31345a1f8cd81,e21a13b453180fa1
85,1,NULO,31,PAYLOAD,27,2,N,5,1,4cfd64574be51110,9cbcacc40de0f619
86,0,PHAN_STRICT_POSTHOC,26,PAYLOAD,22,2,N,4,1,f7f31345a1f8cd81,e21a13b453180fa1
87,0,PHAN_STRICT_POSTHOC,34,PAYLOAD,30,0,J,6,1,f7f31345a1f8cd81,e21a13b453180fa1
88,1,REAL,38,PAYLOAD,34,4,S,6,1,1145d10ea689307a,d2c861a98ef8a254
89,0,NULO,28,PAYLOAD,24,4,S,4,0,ac38ecf3e7ea6c8f,717aace61ce4b072
90,0,PHAN_STRICT_POSTHOC,22,PAYLOAD,18,3,U,3,1,f7f31345a1f8cd81,e21a13b453180fa1
91,0,REAL,33,PAYLOAD,29,4,S,5,0,f7f31345a1f8cd81,e21a13b453180fa1
92,0,REAL,21,PAYLOAD,17,2,N,3,1,1145d10ea689307a,d2c861a98ef8a254
93,0,NULO,21,PAYLOAD,17,2,N,3,1,4cfd64574be51110,fad32430e3bae1d3
94,0,NULO,11,PAYLOAD,7,2,N,1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
95,0,NULO,35,PAYLOAD,31,1,A,6,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
96,0,PHAN_STRICT_POSTHOC,25,PAYLOAD,21,1,A,4,0,f7f31345a1f8cd81,e21a13b453180fa1
97,1,REAL,7,PAYLOAD,3,3,U,0,0,f7f31345a1f8cd81,e21a13b453180fa1
98,0,PHAN_STRICT_POSTHOC,46,PAYLOAD,42,2,N,8,0,f7f31345a1f8cd81,e21a13b453180fa1
99,1,NULO,13,PAYLOAD,9,4,S,1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
100,1,REAL,45,PAYLOAD,41,1,A,8,1,1145d10ea689307a,d2c861a98ef8a254
101,0,PHAN_STRICT_POSTHOC,17,PAYLOAD,13,3,U,2,1,f7f31345a1f8cd81,e21a13b453180fa1
102,1,NULO,32,PAYLOAD,28,3,U,5,1,4cfd64574be51110,fad32430e3bae1d3
103,0,PHAN_STRICT_POSTHOC,6,PAYLOAD,2,2,N,0,0,f7f31345a1f8cd81,e21a13b453180fa1
104,0,REAL,10,PAYLOAD,6,1,A,1,0,f7f31345a1f8cd81,e21a13b453180fa1
105,0,NULO,23,PAYLOAD,19,4,S,3,1,4cfd64574be51110,fad32430e3bae1d3
106,1,REAL,9,PAYLOAD,5,0,J,1,1,1145d10ea689307a,d2c861a98ef8a254
107,0,REAL,7,PAYLOAD,3,3,U,0,0,f7f31345a1f8cd81,e21a13b453180fa1
108,0,REAL,30,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,e21a13b453180fa1
109,1,REAL,3,HEADER,-1,-1,,-1,1,1145d10ea689307a,d2c861a98ef8a254
110,0,PHAN_STRICT_POSTHOC,5,PAYLOAD,1,1,A,0,1,f7f31345a1f8cd81,e21a13b453180fa1
111,0,PHAN_STRICT_POSTHOC,8,PAYLOAD,4,4,S,0,1,f7f31345a1f8cd81,e21a13b453180fa1
112,0,REAL,46,PAYLOAD,42,2,N,8,0,f7f31345a1f8cd81,e21a13b453180fa1
113,1,PHAN_STRICT_POSTHOC,16,PAYLOAD,12,2,N,2,0,f7f31345a1f8cd81,e21a13b453180fa1
114,1,NULO,44,PAYLOAD,40,0,J,8,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
115,1,NULO,9,PAYLOAD,5,0,J,1,1,4cfd64574be51110,fad32430e3bae1d3
116,1,NULO,8,PAYLOAD,4,4,S,0,1,4cfd64574be51110,9cbcacc40de0f619
117,0,PHAN_STRICT_POSTHOC,33,PAYLOAD,29,4,S,5,0,f7f31345a1f8cd81,e21a13b453180fa1
118,1,NULO,10,PAYLOAD,6,1,A,1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
119,1,REAL,31,PAYLOAD,27,2,N,5,1,1145d10ea689307a,d2c861a98ef8a254
120,1,NULO,11,PAYLOAD,7,2,N,1,0,ac38ecf3e7ea6c8f,717aace61ce4b072
121,1,NULO,7,PAYLOAD,3,3,U,0,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
122,0,PHAN_STRICT_POSTHOC,1,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,e21a13b453180fa1
123,0,PHAN_STRICT_POSTHOC,24,PAYLOAD,20,0,J,4,1,f7f31345a1f8cd81,e21a13b453180fa1
124,1,NULO,5,PAYLOAD,1,1,A,0,1,4cfd64574be51110,fad32430e3bae1d3
125,1,NULO,35,PAYLOAD,31,1,A,6,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
126,1,NULO,14,PAYLOAD,10,0,J,2,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
127,0,NULO,46,PAYLOAD,42,2,N,8,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
128,1,NULO,48,PAYLOAD,44,4,S,8,1,4cfd64574be51110,fad32430e3bae1d3
129,0,NULO,1,HEADER,-1,-1,,-1,1,4cfd64574be51110,fad32430e3bae1d3
130,0,PHAN_STRICT_POSTHOC,35,PAYLOAD,31,1,A,6,0,f7f31345a1f8cd81,e21a13b453180fa1
131,0,NULO,27,PAYLOAD,23,3,U,4,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
132,0,REAL,27,PAYLOAD,23,3,U,4,0,f7f31345a1f8cd81,e21a13b453180fa1
133,0,PHAN_STRICT_POSTHOC,31,PAYLOAD,27,2,N,5,1,f7f31345a1f8cd81,e21a13b453180fa1
134,0,REAL,45,PAYLOAD,41,1,A,8,1,1145d10ea689307a,d2c861a98ef8a254
135,0,PHAN_STRICT_POSTHOC,30,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,e21a13b453180fa1
136,1,PHAN_STRICT_POSTHOC,24,PAYLOAD,20,0,J,4,1,f7f31345a1f8cd81,e21a13b453180fa1
137,0,REAL,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,e21a13b453180fa1
138,1,NULO,28,PAYLOAD,24,4,S,4,0,ac38ecf3e7ea6c8f,717aace61ce4b072
139,1,REAL,10,PAYLOAD,6,1,A,1,0,f7f31345a1f8cd81,e21a13b453180fa1
140,1,PHAN_STRICT_POSTHOC,35,PAYLOAD,31,1,A,6,0,f7f31345a1f8cd81,e21a13b453180fa1
141,1,PHAN_STRICT_POSTHOC,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,e21a13b453180fa1
142,1,REAL,12,PAYLOAD,8,3,U,1,0,f7f31345a1f8cd81,e21a13b453180fa1
143,0,NULO,38,PAYLOAD,34,4,S,6,1,4cfd64574be51110,fad32430e3bae1d3
144,1,REAL,42,PAYLOAD,38,3,U,7,1,1145d10ea689307a,d2c861a98ef8a254
