dataset,mode,sequence_index,bit_true,bit_pred,d0,d1,margin_d0_minus_d1
REAL,RAW,8,1,1,3.996302345282807,2.593909994342378,1.402392350940429
REAL,RAW,9,1,1,5.270543276356794,4.079527531312983,1.1910157450438117
REAL,RAW,10,0,0,7.920095875369651,10.758654452598233,-2.8385585772285813
REAL,RAW,11,0,0,5.452269377768997,8.359234960257675,-2.906965582488678
REAL,RAW,12,0,0,5.5995261176961115,8.704200167042915,-3.1046740493468032
REAL,RAW,13,0,0,6.149376082540318,9.413169813452905,-3.263793730912587
REAL,RAW,14,0,0,10.196308145199506,12.889765534100572,-2.6934573889010665
REAL,RAW,15,0,0,7.110774379979206,9.963539591891807,-2.852765211912602
REAL,RAW,16,0,0,3.0460498430491927,6.417377184460843,-3.3713273414116505
REAL,RAW,17,1,1,4.431112879517788,3.458769266601705,0.9723436129160832
REAL,RAW,18,1,0,3.3748526615992778,4.886677174618192,-1.5118245130189139
REAL,RAW,19,0,0,10.688031703535739,13.283022031183602,-2.5949903276478636
REAL,RAW,20,0,0,3.452871641237523,6.819048338663296,-3.366176697425773
REAL,RAW,21,1,1,5.587314828415806,3.8252518331000274,1.762062995315779
REAL,RAW,22,1,1,4.582204107197154,3.050726906292522,1.5314772009046322
REAL,RAW,23,1,1,8.411000416257897,7.299147073185097,1.1118533430728004
REAL,RAW,24,1,0,4.9045759851127775,6.651195170355778,-1.7466191852430004
REAL,RAW,25,0,0,1.4300085220511745,4.7145055156717675,-3.2844969936205928
REAL,RAW,26,1,1,5.980936058521722,3.2142370372859834,2.766699021235739
REAL,RAW,27,0,0,7.349227376853766,9.733811034300736,-2.38458365744697
REAL,RAW,28,0,0,3.8540393505118855,7.389242204343037,-3.5352028538311515
REAL,RAW,29,0,0,9.677004965442766,12.141892779732665,-2.4648878142898987
REAL,RAW,30,0,0,8.854309625788778,11.5456558962018,-2.691346270413023
REAL,RAW,31,1,1,6.171852392569396,4.9861263919886785,1.1857260005807175
REAL,RAW,32,1,1,7.41853489222982,5.12021798098012,2.2983169112497004
REAL,RAW,33,0,0,9.788602468948467,12.240623331969118,-2.4520208630206515
REAL,RAW,34,1,0,4.83541827788843,5.000708990476982,-0.16529071258855144
REAL,RAW,35,0,0,3.188680310480523,6.861269490789797,-3.6725891803092745
REAL,RAW,36,1,1,6.58586583049844,4.558241160954136,2.027624669544304
REAL,RAW,37,0,0,2.648612100600796,5.492347888951694,-2.843735788350898
REAL,RAW,38,1,1,5.133236976953027,4.898257729014952,0.23497924793807545
REAL,RAW,39,0,0,2.18574434551608,4.86561482760893,-2.67987048209285
REAL,RAW,40,1,1,4.635314927910164,4.344106496266016,0.2912084316441481
REAL,RAW,41,0,0,8.12042776366347,11.686654425165749,-3.566226661502279
REAL,RAW,42,1,1,6.492482795206196,6.432283773510708,0.060199021695487964
REAL,RAW,43,1,1,6.9482534991428855,3.612788279702508,3.3354652194403775
REAL,RAW,44,0,0,2.6159612720774956,5.72352843025608,-3.107567158178584
REAL,RAW,45,1,1,7.644230377955482,5.1239775163623085,2.520252861593174
REAL,RAW,46,0,0,6.764541782178135,9.579198962661694,-2.814657180483559
REAL,RAW,47,1,1,5.594888553619551,3.9368220069984825,1.6580665466210687
REAL,RAW,48,1,1,6.324046923678671,5.061734211492405,1.262312712186266
REAL,POST_Q1_1,4,0,0,2.191813415750104,4.114113692391223,-1.9223002766411192
REAL,POST_Q1_1,5,1,1,5.919005330629844,2.286968633452443,3.632036697177401
REAL,POST_Q1_1,6,0,0,2.182804854289688,3.845208328387844,-1.6624034740981561
REAL,POST_Q1_1,7,0,0,2.446749655255726,7.079249731549667,-4.63250007629394
REAL,POST_Q1_1,8,1,1,7.280512136541834,4.413511887098386,2.867000249443448
REAL,POST_Q1_1,9,1,1,9.139925193025016,5.611113682401307,3.5288115106237097
REAL,POST_Q1_1,10,0,0,2.2367801343659104,7.696981968234012,-5.460201833868101
REAL,POST_Q1_1,11,0,0,3.8407402265346002,8.226144029684345,-4.385403803149745
REAL,POST_Q1_1,12,0,0,0.8142638137093396,5.978900369713931,-5.1646365560045915
REAL,POST_Q1_1,13,0,0,2.0536738774628818,6.485149533852662,-4.431475656389781
REAL,POST_Q1_1,14,0,0,3.796944473790397,8.598852608170722,-4.801908134380325
REAL,POST_Q1_1,15,0,0,4.745502223972193,9.556575532464294,-4.811073308492101
REAL,POST_Q1_1,16,0,0,1.3292833394771253,4.715874712736806,-3.3865913732596806
REAL,POST_Q1_1,17,1,1,7.634187914382337,3.6013272424058513,4.0328606719764855
