dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
NULO,RAW,24,PAYLOAD,20,0,J,4,1,1024.0,0.064453125,0.062252044677734375,0.2495035965226441,3.7346977085902715,12.895725808563204,0.12121212121212122,0.0166015625,0.033203125,0.0146484375,0.016325950622558594,0.032100677490234375,0.014433860778808594,0.033235581622678395,0.06451612903225806,0.02932551319648094
NULO,RAW,25,PAYLOAD,21,1,A,4,0,1024.0,0.0546875,0.05364990234375,0.2316244856308374,4.150874248072089,16.49208105704978,0.10361681329423265,0.021484375,0.0185546875,0.0146484375,0.021022796630859375,0.018210411071777344,0.014433860778808594,0.043010752688172046,0.03519061583577713,0.02932551319648094
NULO,RAW,26,PAYLOAD,22,2,N,4,1,1024.0,0.0732421875,0.07373714447021484,0.27154584229962875,3.7070042394337173,13.57296528234432,0.1348973607038123,0.01953125,0.0302734375,0.0234375,0.0191497802734375,0.029356956481933594,0.02288818359375,0.03714565004887586,0.06060606060606061,0.0469208211143695
NULO,RAW,27,PAYLOAD,23,3,U,4,0,1024.0,0.08203125,0.0831146240234375,0.28829607007976626,3.524918755064193,12.287025170940602,0.1544477028347996,0.0234375,0.03125,0.02734375,0.02288818359375,0.0302734375,0.0265960693359375,0.044965786901270774,0.06060606060606061,0.05278592375366569
NULO,RAW,28,PAYLOAD,24,4,S,4,0,1024.0,0.0869140625,0.0910787582397461,0.3017925748585377,3.553172940472788,12.768621506094615,0.1603128054740958,0.0400390625,0.0205078125,0.0263671875,0.038435935974121094,0.020087242126464844,0.025671958923339844,0.07820136852394917,0.04105571847507331,0.05278592375366569
NULO,RAW,29,PAYLOAD,25,0,J,5,0,1024.0,0.0654296875,0.06700801849365234,0.25885907071928604,4.011082351503001,16.263996270806295,0.1270772238514174,0.033203125,0.015625,0.0166015625,0.032100677490234375,0.015380859375,0.016325950622558594,0.06451612903225806,0.03128054740957967,0.033235581622678395
NULO,RAW,30,PAYLOAD,26,1,A,5,0,1024.0,0.07421875,0.0687103271484375,0.26212654796574403,3.2486694179152216,8.55385298689762,0.13294232649071358,0.025390625,0.021484375,0.02734375,0.024745941162109375,0.021022796630859375,0.0265960693359375,0.0469208211143695,0.043010752688172046,0.05278592375366569
NULO,RAW,31,PAYLOAD,27,2,N,5,1,1024.0,0.0595703125,0.061881065368652344,0.24875905082760777,4.279619864915398,18.820954501980125,0.11143695014662756,0.0283203125,0.0126953125,0.0185546875,0.027518272399902344,0.012534141540527344,0.018210411071777344,0.05474095796676442,0.02541544477028348,0.033235581622678395
NULO,RAW,32,PAYLOAD,28,3,U,5,1,1024.0,0.06640625,0.0639495849609375,0.2528825517131174,3.6627383417145047,12.315362691331448,0.12316715542521994,0.021484375,0.021484375,0.0234375,0.021022796630859375,0.021022796630859375,0.02288818359375,0.043010752688172046,0.04105571847507331,0.043010752688172046
NULO,RAW,33,PAYLOAD,29,4,S,5,0,1024.0,0.06640625,0.0639495849609375,0.2528825517131174,3.662738341714505,12.315362691331444,0.12903225806451613,0.01953125,0.02734375,0.01953125,0.0191497802734375,0.0265960693359375,0.0191497802734375,0.039100684261974585,0.05474095796676442,0.039100684261974585
NULO,RAW,34,PAYLOAD,30,0,J,6,1,1024.0,0.05078125,0.0540618896484375,0.23251212795989265,4.772650581337058,23.950463675616575,0.09775171065493646,0.0185546875,0.0185546875,0.013671875,0.018210411071777344,0.018210411071777344,0.013484954833984375,0.03714565004887586,0.03714565004887586,0.02737047898338221
NULO,RAW,35,PAYLOAD,31,1,A,6,0,1024.0,0.0673828125,0.06870174407958984,0.26211017545984333,3.929880853954787,15.52406320889634,0.12805474095796676,0.0185546875,0.029296875,0.01953125,0.018210411071777344,0.028438568115234375,0.0191497802734375,0.03519061583577713,0.05767350928641251,0.03714565004887586
NULO,RAW,36,PAYLOAD,32,2,N,6,1,1024.0,0.0537109375,0.052779197692871094,0.22973723619141737,4.198717209016452,16.931851093191607,0.10361681329423265,0.017578125,0.0224609375,0.013671875,0.017269134521484375,0.021956443786621094,0.013484954833984375,0.03519061583577713,0.044965786901270774,0.02737047898338221
NULO,RAW,37,PAYLOAD,33,3,U,6,0,1024.0,0.0703125,0.06927490234375,0.26320125824879714,3.678499028192428,12.985205224242655,0.13196480938416422,0.0244140625,0.025390625,0.0205078125,0.023818016052246094,0.024745941162109375,0.020087242126464844,0.04887585532746823,0.05083088954056696,0.04007820136852395
NULO,RAW,38,PAYLOAD,34,4,S,6,1,1024.0,0.0576171875,0.054297447204589844,0.2330181263434024,3.796981972535936,12.417072099762883,0.10948191593352884,0.0205078125,0.015625,0.021484375,0.020087242126464844,0.015380859375,0.021022796630859375,0.039100684261974585,0.03128054740957967,0.043010752688172046
NULO,RAW,39,PAYLOAD,35,0,J,7,0,1024.0,0.080078125,0.07366561889648438,0.27141410961201773,3.094326051068399,7.574853710320543,0.1544477028347996,0.03125,0.03515625,0.013671875,0.0302734375,0.0339202880859375,0.013484954833984375,0.06256109481915934,0.06842619745845552,0.02737047898338221
NULO,RAW,40,PAYLOAD,36,1,A,7,1,1024.0,0.06640625,0.0678558349609375,0.2604915256988939,3.970010124095904,15.887797156616948,0.12121212121212122,0.0263671875,0.0244140625,0.015625,0.025671958923339844,0.023818016052246094,0.015380859375,0.05278592375366569,0.0469208211143695,0.03128054740957967
NULO,RAW,41,PAYLOAD,37,2,N,7,0,1024.0,0.05859375,0.0610198974609375,0.24702205865253715,4.328496455878631,19.304426631789227,0.10752688172043011,0.0244140625,0.021484375,0.0126953125,0.023818016052246094,0.021022796630859375,0.012534141540527344,0.044965786901270774,0.04105571847507331,0.02541544477028348
NULO,RAW,42,PAYLOAD,38,3,U,7,1,1024.0,0.0595703125,0.056021690368652344,0.2366890161554869,3.72158957482565,11.850228963450963,0.10948191593352884,0.025390625,0.0166015625,0.017578125,0.024745941162109375,0.016325950622558594,0.017269134521484375,0.04887585532746823,0.033235581622678395,0.03519061583577713
NULO,RAW,43,PAYLOAD,39,4,S,7,1,1024.0,0.0537109375,0.050826072692871094,0.22544638540653317,3.959159173878394,13.674941364105454,0.10166177908113393,0.0185546875,0.0224609375,0.0126953125,0.018210411071777344,0.021956443786621094,0.012534141540527344,0.03519061583577713,0.044965786901270774,0.02541544477028348
NULO,RAW,44,PAYLOAD,40,0,J,8,0,1024.0,0.0615234375,0.057738304138183594,0.24028796086817084,3.6495924383041505,11.319524965726835,0.11925708699902249,0.0166015625,0.0263671875,0.0185546875,0.016325950622558594,0.025671958923339844,0.018210411071777344,0.033235581622678395,0.05083088954056696,0.03714565004887586
NULO,RAW,45,PAYLOAD,41,1,A,8,1,1024.0,0.0625,0.05859375,0.24206145913796356,3.614784456460255,11.066666666666658,0.11730205278592376,0.0283203125,0.017578125,0.0166015625,0.027518272399902344,0.017269134521484375,0.016325950622558594,0.05083088954056696,0.03519061583577713,0.033235581622678395
NULO,RAW,46,PAYLOAD,42,2,N,8,0,1024.0,0.0517578125,0.052985191345214844,0.23018512407454753,4.518604206305127,20.80579053739592,0.09579667644183773,0.0166015625,0.01953125,0.015625,0.016325950622558594,0.0191497802734375,0.015380859375,0.03128054740957967,0.03714565004887586,0.03128054740957967
NULO,RAW,47,PAYLOAD,43,3,U,8,1,1024.0,0.0830078125,0.08393001556396484,0.28970677514335913,3.4946532604724165,12.042683706815819,0.15053763440860216,0.03515625,0.017578125,0.0302734375,0.0339202880859375,0.017269134521484375,0.029356956481933594,0.07038123167155426,0.033235581622678395,0.06060606060606061
NULO,RAW,48,PAYLOAD,44,4,S,8,1,1024.0,0.060546875,0.058834075927734375,0.24255736626153898,3.8889382151443215,14.180781694275002,0.10752688172043011,0.0146484375,0.0244140625,0.021484375,0.014433860778808594,0.023818016052246094,0.021022796630859375,0.02932551319648094,0.0469208211143695,0.04105571847507331
NULO,POST_Q1_1,0,HEADER,-1,-1,,-1,0,489.0,0.06134969325153374,0.06576586748968095,0.25644856694799634,4.361225202987067,19.903228058060098,0.11065573770491803,0.026584867075664622,0.016359918200409,0.018404907975460124,0.02587811191823387,0.016092271276884926,0.018066167337874972,0.04918032786885246,0.03278688524590164,0.03278688524590164
NULO,POST_Q1_1,1,HEADER,-1,-1,,-1,1,568.0,0.07746478873239436,0.08202737552073003,0.2864042170093346,3.81506967411024,14.930798006810644,0.14814814814814814,0.03697183098591549,0.022887323943661973,0.017605633802816902,0.0356049146994644,0.02236349434635985,0.017295675461218015,0.07054673721340388,0.042328042328042326,0.03527336860670194
NULO,POST_Q1_1,2,HEADER,-1,-1,,-1,0,511.0,0.09001956947162426,0.08974383523347415,0.299572754491249,3.293211385884829,10.472211369334456,0.17647058823529413,0.029354207436399216,0.03522504892367906,0.025440313111545987,0.02849253794218006,0.033984244852003485,0.024793103580332487,0.054901960784313725,0.07058823529411765,0.050980392156862744
NULO,POST_Q1_1,3,HEADER,-1,-1,,-1,1,591.0,0.07445008460236886,0.07567545901437527,0.27509172836414997,3.7199058410389463,13.801487857828043,0.13898305084745763,0.025380710659898477,0.0338409475465313,0.015228426395939087,0.024736530186297,0.032695737815684224,0.014996521425442551,0.05084745762711865,0.06779661016949153,0.030508474576271188
NULO,POST_Q1_1,4,PAYLOAD,0,0,J,0,0,514.0,0.054474708171206226,0.051507214340868156,0.2269520088936605,3.926163015702116,13.414756025867131,0.10526315789473684,0.01556420233463035,0.019455252918287938,0.019455252918287938,0.015321957940317038,0.019076746052173382,0.01907674605217338,0.031189083820662766,0.03898635477582846,0.03898635477582846
NULO,POST_Q1_1,5,PAYLOAD,1,1,A,0,1,579.0,0.09153713298791019,0.09006654913927592,0.30011089473605573,3.2098549245126304,9.762633784733971,0.16608996539792387,0.046632124352331605,0.025906735751295335,0.018998272884283247,0.0444575693307203,0.02523557679400789,0.018637338511697552,0.08650519031141868,0.05190311418685121,0.03806228373702422
NULO,POST_Q1_1,6,PAYLOAD,2,2,N,0,0,475.0,0.04421052631578947,0.04225595567867036,0.2055625347155224,4.434557827524132,17.66530312565556,0.08860759493670886,0.014736842105263158,0.018947368421052633,0.010526315789473684,0.014519667590027707,0.018588365650969524,0.010415512465373962,0.029535864978902954,0.0379746835443038,0.02109704641350211
NULO,POST_Q1_1,7,PAYLOAD,3,3,U,0,0,503.0,0.04572564612326044,0.05556324083333004,0.23571856276782707,5.63424568994709,34.25819528716684,0.09163346613545817,0.02186878727634195,0.019880715705765408,0.003976143141153081,0.02139054341940405,0.01948547284879194,0.003960333426874143,0.043824701195219126,0.0398406374501992,0.00796812749003984
NULO,POST_Q1_1,8,PAYLOAD,4,4,S,0,1,564.0,0.09042553191489362,0.09288705296514259,0.3047737734207827,3.4053171008024448,11.53412576199732,0.17761989342806395,0.03546099290780142,0.03368794326241135,0.02127659574468085,0.034203510889794266,0.032553065741159896,0.020823902218198277,0.07104795737122557,0.0674955595026643,0.04262877442273535
