dataset,mode,cycle,decoder,sequence_index,bit_true,bit_pred_hard,cost0,cost1,margin,payload_index,char_index,bit_in_char
NULO,POST_Q1_1,aggregate,hard_vector,51,0,0,41.774352704615666,51.142497904452846,9.36814519983718,,,
NULO,POST_Q1_1,aggregate,hard_vector,52,1,0,12.561849030096491,17.32138263061524,4.759533600518749,,,
NULO,POST_Q1_1,aggregate,hard_vector,53,0,1,56.984458660715475,54.98191377587392,2.002544884841555,,,
NULO,POST_Q1_1,aggregate,hard_vector,54,1,0,41.132372496497304,43.68482742250716,2.552454926009858,,,
NULO,POST_Q1_1,aggregate,hard_vector,55,1,1,22.199881097902775,10.41488156588794,11.784999532014835,,,
NULO,POST_Q1_1,aggregate,hard_vector,56,0,0,5.042568828145676,11.85280962851695,6.8102408003712736,,,
NULO,POST_Q1_1,aggregate,hard_vector,57,1,0,12.261058829177564,16.662804356670826,4.4017455274932615,,,
NULO,POST_Q1_1,aggregate,hard_vector,58,0,0,16.680424375260667,19.224087778568325,2.543663403307658,,,
NULO,POST_Q1_1,aggregate,hard_vector,59,1,0,16.649486990848335,30.536145589083183,13.886658598234849,,,
NULO,POST_Q1_1,aggregate,hard_vector,60,1,1,21.685310545614794,18.50552351072233,3.1797870348924633,,,
NULO,POST_Q1_1,aggregate,soft_vector_codebook,16,0,0,21.268461063146493,33.852180832876215,12.583719769729722,0.0,0.0,0.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,17,1,0,2.499819064690149,3.9568460727898307,1.4570270080996819,1.0,1.0,0.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,18,0,1,14.347430432578609,6.0898427238676245,8.257587708710984,2.0,2.0,0.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,19,0,1,24.298108315470017,12.937120898765524,11.360987416704493,3.0,3.0,0.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,20,1,0,6.81463618542018,9.752801606539926,2.938165421119746,4.0,4.0,0.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,21,1,1,30.309909499309864,25.465123627588092,4.844785871721772,5.0,0.0,1.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,22,0,1,15.723747751164826,15.701142537478225,0.02260521368660129,6.0,1.0,1.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,23,0,0,17.3978933641384,28.165905460025325,10.768012095886924,7.0,2.0,1.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,24,0,0,5.091557955840561,6.976951448778334,1.885393492937773,8.0,3.0,1.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,25,0,1,27.153217731139318,25.211116995725387,1.9421007354139306,9.0,4.0,1.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,26,0,0,52.29496916972,73.77820102553612,21.483231855816122,10.0,0.0,2.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,27,0,0,58.19627511156498,85.62187050224487,27.425595390679895,11.0,1.0,2.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,28,0,0,13.528894426565255,25.89891696179192,12.370022535226664,12.0,2.0,2.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,29,1,1,9.51421777188242,2.7247648077115105,6.789452964170909,13.0,3.0,2.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,30,1,0,29.968837581856754,34.750467839038016,4.781630257181263,14.0,4.0,2.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,31,0,0,18.302143216203195,20.93313699555128,2.630993779348085,15.0,0.0,3.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,32,0,1,64.32577595219348,53.31131707726965,11.014458874923832,16.0,1.0,3.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,33,1,1,38.2901033045106,29.501560993828992,8.78854231068161,17.0,2.0,3.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,34,1,0,14.50061022188687,25.81125278861947,11.3106425667326,18.0,3.0,3.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,35,1,0,17.063025793047036,32.71065440275111,15.647628609704075,19.0,4.0,3.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,36,1,1,10.75522627169746,10.511455814946919,0.243770456750541,20.0,0.0,4.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,37,0,0,16.53083845245282,21.33148928945237,4.8006508369995515,21.0,1.0,4.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,38,1,0,40.610280161713895,55.19487224495965,14.584592083245752,22.0,2.0,4.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,39,0,1,16.01228280082407,9.406875036593103,6.605407764230968,23.0,3.0,4.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,40,0,0,132.4378862660677,150.65029125911713,18.212404993049432,24.0,4.0,4.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,41,0,0,0.6640138146099426,3.4306854458086766,2.766671631198734,25.0,0.0,5.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,42,0,0,19.565154100318765,31.898917824861062,12.333763724542298,26.0,1.0,5.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,43,1,0,2.9226611965129243,7.264140712012581,4.341479515499657,27.0,2.0,5.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,44,1,0,27.331383856463237,37.91278424490635,10.581400388443111,28.0,3.0,5.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,45,0,0,51.53994919596724,60.298938888007676,8.758989692040437,29.0,4.0,5.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,46,1,0,12.52136047643605,15.686015069487478,3.164654593051429,30.0,0.0,6.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,47,0,0,10.17143296130052,15.76661682366892,5.595183862368401,31.0,1.0,6.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,48,1,0,11.4014786112008,17.50740475277959,6.10592614157879,32.0,2.0,6.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,49,0,0,60.03607894286265,65.77591497245261,5.739836029589959,33.0,3.0,6.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,50,1,0,30.33171891868591,39.05810570435449,8.726386785668577,34.0,4.0,6.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,51,0,0,41.774352704615666,51.142497904452846,9.36814519983718,35.0,0.0,7.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,52,1,0,12.561849030096491,17.32138263061524,4.759533600518749,36.0,1.0,7.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,53,0,1,56.984458660715475,54.98191377587392,2.002544884841555,37.0,2.0,7.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,54,1,0,41.132372496497304,43.68482742250716,2.552454926009858,38.0,3.0,7.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,55,1,1,22.199881097902775,10.41488156588794,11.784999532014835,39.0,4.0,7.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,56,0,0,5.042568828145676,11.85280962851695,6.8102408003712736,40.0,0.0,8.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,57,1,0,12.261058829177564,16.662804356670826,4.4017455274932615,41.0,1.0,8.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,58,0,0,16.680424375260667,19.224087778568325,2.543663403307658,42.0,2.0,8.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,59,1,0,16.649486990848335,30.536145589083183,13.886658598234849,43.0,3.0,8.0
NULO,POST_Q1_1,aggregate,soft_vector_codebook,60,1,1,21.685310545614794,18.50552351072233,3.1797870348924633,44.0,4.0,8.0
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,16,0,0,15.46581324722041,23.47674452324744,8.01093127602703,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,17,1,0,60.12869984049691,70.81475489245996,10.686055051963052,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,18,0,1,12.576293540402077,2.1543856718666152,10.421907868535461,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,19,0,1,38.709099673904035,18.04679077406423,20.662308899839804,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,20,1,0,64.98843948872346,96.50834930324142,31.51990981451796,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,21,1,1,12.752768148628494,9.852396921606708,2.900371227021786,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,22,0,1,15.690056912543904,15.507895188119127,0.18216172442477685,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,23,0,1,60.42268234851672,45.48405910097927,14.93862324753745,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,24,0,0,12.201381101830757,13.325030020470294,1.123648918639537,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,25,0,1,43.6985985450881,43.63525470220023,0.06334384288787476,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,26,0,1,42.04166837435849,33.38702516245875,8.654643211899739,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,27,0,1,16.2232070930132,7.40085518880777,8.82235190420543,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,28,0,1,32.66272493131931,28.200525600019308,4.462199331300003,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,29,1,0,46.08656130908844,62.279978071386104,16.193416762297666,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,30,1,1,54.557048846380155,47.438707938337686,7.1183409080424696,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,31,0,0,28.36526870533647,29.143237780204633,0.7779690748681638,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,32,0,0,19.121065259292337,33.96787151342609,14.846806254133753,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,33,1,1,52.65397206343639,44.64275883317698,8.011213230259415,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,34,1,0,24.638713736399634,29.418567689085265,4.779853952685631,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,35,1,1,20.82205477010671,16.70612378724773,4.1159309828589805,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,36,1,1,15.724052465300973,6.674428964258775,9.049623501042198,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,37,0,1,34.57375099706895,22.808410147979693,11.765340849089256,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,38,1,0,7.82803870999086,16.297625728807716,8.469587018816856,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,39,0,1,4.287756923098775,1.3014078372149829,2.986349085883792,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,40,0,0,4.9012782087270885,12.951955942395513,8.050677733668424,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,41,0,1,51.273545064805084,49.917991637275136,1.355553427529948,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,42,0,0,42.66684306177141,52.685194364216144,10.018351302444735,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,43,1,0,22.23555192472992,31.451544077263176,9.215992152533257,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,44,1,1,33.895294435992604,31.59592394530415,2.299370490688453,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,45,0,1,17.62302156640312,10.029774919617312,7.5932466467858095,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,46,1,0,79.91734843508326,96.78418777032162,16.866839335238367,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,47,0,0,29.492919992008172,36.43368057378188,6.940760581773706,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,48,1,0,14.541009419190319,35.1336570908752,20.59264767168488,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,49,0,0,9.16572251532398,10.430470990766834,1.264748475442854,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,50,1,1,16.499576146283175,12.244469199735049,4.255106946548127,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,51,0,1,122.76726131009431,111.08948585257934,11.677775457514969,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,52,1,1,17.034338281539434,3.6988284144243506,13.335509867115082,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,53,0,1,28.569439960666127,13.980705709265047,14.58873425140108,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,54,1,0,44.785119961172214,49.501555910840494,4.716435949668281,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,55,1,0,39.29563922555958,70.91217187685176,31.616532651292175,,,
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,56,0,0,19.18485854609346,30.54774559162015,11.36288704552669,,,
