dataset,mode,sequence_index,sequence_kind,payload_index,char_index,bit_in_char,bit_sent,cycle,e1_mean,e2_mean,e3_mean,cons_mean,e1_minus_e2,e1_minus_e3,e2_minus_e3,e1_ratio_e2,e2_ratio_e1,e1_share,e2_share,e3_share,e1_var,e2_var,e3_var,cons_var,e1_flicker,e2_flicker,e3_flicker,cons_flicker,cycle_scope
NULO,RAW,34,PAYLOAD,18,3,3,1,0,0.033203125,0.046875,0.01953125,0.099609375,-0.013671875,0.013671875,0.02734375,0.7083182225445857,1.4117221881317457,0.3333299869616995,0.47058351100475226,0.19607646291864678,0.032100677490234375,0.044677734375,0.0191497802734375,0.08968734741210938,0.06262230919765166,0.09001956947162426,0.03913894324853229,0.18395303326810175,cycle
NULO,RAW,35,PAYLOAD,19,4,3,1,0,0.03515625,0.029296875,0.029296875,0.09375,0.005859375,0.005859375,0.0,1.1999590413980536,0.8333096303038491,0.3749960000426662,0.3124966667022218,0.3124966667022218,0.0339202880859375,0.028438568115234375,0.028438568115234375,0.0888671875,0.07045009784735812,0.05870841487279843,0.0547945205479452,0.16046966731898238,cycle
NULO,RAW,36,PAYLOAD,20,0,4,1,0,0.02734375,0.041015625,0.021484375,0.08984375,-0.013671875,0.005859375,0.01953125,0.6666504130946902,1.4999451448632735,0.3043444386010312,0.45651665790154683,0.23912777318652453,0.0265960693359375,0.039333343505859375,0.021022796630859375,0.0934906005859375,0.050880626223091974,0.07827788649706457,0.043052837573385516,0.17221135029354206,cycle
NULO,RAW,37,PAYLOAD,21,1,4,0,0,0.0390625,0.0390625,0.01953125,0.09765625,0.0,0.01953125,0.01953125,0.9999744006553432,0.9999744006553432,0.39999590404194263,0.39999590404194263,0.19999795202097131,0.03753662109375,0.03753662109375,0.0191497802734375,0.0920257568359375,0.07436399217221135,0.07436399217221135,0.03913894324853229,0.18786692759295498,cycle
NULO,RAW,38,PAYLOAD,22,2,4,1,0,0.041015625,0.041015625,0.04296875,0.125,0.0,-0.001953125,-0.001953125,0.9999756196420354,0.9999756196420354,0.32812237502099983,0.32812237502099983,0.3437472500219998,0.039333343505859375,0.039333343505859375,0.0411224365234375,0.12890625,0.0821917808219178,0.07436399217221135,0.07827788649706457,0.2191780821917808,cycle
NULO,RAW,39,PAYLOAD,23,3,4,0,0,0.029296875,0.037109375,0.03515625,0.1015625,-0.0078125,-0.005859375,0.001953125,0.7894524105455685,1.2666234325868344,0.2884586982528172,0.3653810177869018,0.3461504379033806,0.028438568115234375,0.035732269287109375,0.0339202880859375,0.11077880859375,0.05675146771037182,0.07436399217221135,0.07045009784735812,0.19373776908023482,cycle
NULO,RAW,40,PAYLOAD,24,4,4,0,0,0.033203125,0.03515625,0.03125,0.099609375,-0.001953125,0.001953125,0.00390625,0.944417581011029,1.0587916410988092,0.3333299869616995,0.3529376332535642,0.31372234066983484,0.032100677490234375,0.0339202880859375,0.0302734375,0.08968734741210938,0.05870841487279843,0.07045009784735812,0.05870841487279843,0.18003913894324852,cycle
NULO,RAW,41,PAYLOAD,25,0,5,0,0,0.025390625,0.02734375,0.025390625,0.078125,-0.001953125,0.0,0.001953125,0.9285374706296455,1.0768806643922946,0.32499584005324733,0.34999552005734325,0.32499584005324733,0.024745941162109375,0.0265960693359375,0.024745941162109375,0.079833984375,0.050880626223091974,0.0547945205479452,0.050880626223091974,0.14481409001956946,cycle
NULO,RAW,42,PAYLOAD,26,1,5,0,0,0.021484375,0.03125,0.01953125,0.072265625,-0.009765625,0.001953125,0.01171875,0.6874780007039775,1.4544777552172117,0.2972931834024351,0.4324264485853601,0.2702665303658501,0.021022796630859375,0.0302734375,0.0191497802734375,0.07094955444335938,0.0410958904109589,0.06262230919765166,0.03913894324853229,0.13111545988258316,cycle
NULO,RAW,43,PAYLOAD,27,2,5,1,0,0.037109375,0.021484375,0.029296875,0.087890625,0.015625,0.0078125,-0.0078125,1.7271923343204387,0.5789317677334168,0.4222174183262626,0.24444166324152045,0.33332954078389154,0.035732269287109375,0.021022796630859375,0.028438568115234375,0.08407211303710938,0.07436399217221135,0.043052837573385516,0.05870841487279843,0.1643835616438356,cycle
