dataset,mode,sequence_index,sequence_kind,payload_index,char_index,bit_in_char,bit_sent,e1_mean,e2_mean,e3_mean,cons_mean,e1_minus_e2,e1_minus_e3,e2_minus_e3,e1_ratio_e2,e2_ratio_e1,e1_share,e2_share,e3_share,e1_var,e2_var,e3_var,cons_var,e1_flicker,e2_flicker,e3_flicker,cons_flicker,cycle_scope
REAL,RAW,27,PAYLOAD,11,1,2,0,0.036458333333333336,0.042317708333333336,0.038411458333333336,0.1171875,-0.005859375,-0.001953125,0.00390625,0.8615181032029766,1.1606824498528039,0.31110845631895057,0.36110802965592476,0.3277749807646086,0.03512912326388888,0.040526919894748256,0.03693601820203993,0.12168375651041667,0.07035830618892508,0.08208469055374593,0.07687296416938111,0.21758957654723127,aggregate
REAL,RAW,28,PAYLOAD,12,2,2,0,0.034505208333333336,0.036458333333333336,0.03515625,0.10611979166666667,-0.001953125,-0.0006510416666666644,0.0013020833333333356,0.9464026129569018,1.056573152898814,0.3251503102400213,0.3435550447819093,0.33128522175398395,0.033314598931206606,0.03512912326388888,0.0339202880859375,0.11048338148328994,0.06775244299674267,0.06775244299674267,0.07035830618892508,0.19543973941368079,aggregate
REAL,RAW,29,PAYLOAD,13,3,2,1,0.02734375,0.033854166666666664,0.03515625,0.09635416666666667,-0.006510416666666664,-0.0078125,-0.0013020833333333356,0.8076684504088495,1.2380499608395272,0.28378083859886427,0.35134770493192713,0.36486107819853975,0.0265960693359375,0.032708062065972224,0.0339202880859375,0.09358045789930557,0.053420195439739415,0.06775244299674267,0.06514657980456026,0.16938110749185667,aggregate
REAL,RAW,30,PAYLOAD,14,4,2,1,0.037109375,0.048177083333333336,0.0390625,0.12434895833333333,-0.011067708333333336,-0.001953125,0.009114583333333336,0.7702542822894919,1.2982106306749348,0.29842691945681526,0.38743143929481283,0.3141335994282266,0.035732269287109375,0.045856051974826374,0.03753662109375,0.1336258782280816,0.07296416938110749,0.09381107491856677,0.0755700325732899,0.2280130293159609,aggregate
REAL,RAW,31,PAYLOAD,15,0,3,0,0.047526041666666664,0.045572916666666664,0.041666666666666664,0.134765625,0.001953125,0.005859375,0.00390625,1.04283426009395,0.958883933620246,0.35265438803314,0.3381617419495863,0.3091764497824789,0.04526731703016495,0.04349602593315973,0.03993055555555557,0.13743718465169272,0.08990228013029317,0.08208469055374593,0.08338762214983714,0.23973941368078175,aggregate
REAL,RAW,32,PAYLOAD,16,1,3,0,0.039713541666666664,0.034505208333333336,0.042317708333333336,0.11653645833333333,0.005208333333333329,-0.0026041666666666713,-0.0078125,1.1509100415504938,0.8688305815774869,0.34077919867682027,0.29608684475199143,0.36312537563923475,0.03813637627495659,0.033314598931206606,0.04052691989474825,0.12378904554578996,0.0781758957654723,0.06775244299674267,0.08078175895765473,0.20716612377850163,aggregate
REAL,RAW,33,PAYLOAD,17,2,3,1,0.0234375,0.029947916666666668,0.02734375,0.08072916666666667,-0.006510416666666668,-0.00390625,0.002604166666666668,0.7825825641995954,1.2777232615852834,0.29031898443580567,0.37096314677908504,0.3387054818417733,0.02288818359375,0.029051038953993063,0.0265960693359375,0.07942030164930555,0.04560260586319218,0.05993485342019544,0.05472312703583062,0.15504885993485343,aggregate
REAL,RAW,34,PAYLOAD,18,3,3,1,0.027994791666666668,0.037760416666666664,0.032552083333333336,0.09830729166666667,-0.009765624999999997,-0.004557291666666668,0.005208333333333329,0.741359677095448,1.3487890293035112,0.2847653152349391,0.3841020531075922,0.33112245957551056,0.0272110833062066,0.036334567599826395,0.03149244520399306,0.10166380140516494,0.05472312703583062,0.07296416938110749,0.06384364820846905,0.17980456026058633,aggregate
REAL,RAW,35,PAYLOAD,19,4,3,1,0.030598958333333332,0.033203125,0.03125,0.09505208333333333,-0.002604166666666668,-0.0006510416666666678,0.001953125,0.9215408728082228,1.0850709219375299,0.3219144215030724,0.3493113935458871,0.3287636645137761,0.029662662082248256,0.032100677490234375,0.0302734375,0.09643385145399307,0.06058631921824104,0.06254071661237785,0.05993485342019544,0.16742671009771987,aggregate
REAL,RAW,36,PAYLOAD,20,0,4,1,0.030598958333333332,0.03515625,0.041015625,0.10677083333333333,-0.004557291666666668,-0.010416666666666668,-0.005859375,0.870345613872909,1.1488986232279728,0.2865826817622001,0.32926520883316607,0.3841427436386937,0.02966266208224826,0.0339202880859375,0.039333343505859375,0.10188123914930554,0.05472312703583062,0.07035830618892508,0.0755700325732899,0.18762214983713354,aggregate
REAL,RAW,37,PAYLOAD,21,1,4,0,0.038411458333333336,0.0390625,0.029947916666666668,0.107421875,-0.0006510416666666644,0.008463541666666668,0.009114583333333332,0.9833081606444208,1.0169226780807874,0.35757242890151036,0.3636329785439088,0.2787852835503301,0.03693601820203993,0.03753662109375,0.029051038953993063,0.10629908243815105,0.07296416938110749,0.0742671009771987,0.05537459283387622,0.18957654723127035,aggregate
REAL,RAW,38,PAYLOAD,22,2,4,1,0.030598958333333332,0.0390625,0.028645833333333332,0.09830729166666667,-0.008463541666666668,0.001953125,0.010416666666666668,0.7833132805133521,1.2765540258088586,0.3112551120009799,0.3973469514906126,0.29138776442644926,0.029662662082248256,0.03753662109375,0.027825249565972227,0.1003617180718316,0.05732899022801303,0.0742671009771987,0.05732899022801303,0.1771986970684039,aggregate
REAL,RAW,39,PAYLOAD,23,3,4,0,0.035807291666666664,0.041666666666666664,0.034505208333333336,0.11197916666666667,-0.005859375,0.0013020833333333287,0.007161458333333329,0.859354375494988,1.1636038673538136,0.31976458628834564,0.3720897004082568,0.3081367831505877,0.03452512953016495,0.03993055555555557,0.033314598931206606,0.11376274956597221,0.06644951140065146,0.0781758957654723,0.06775244299674267,0.19413680781758957,aggregate
REAL,RAW,40,PAYLOAD,24,4,4,0,0.037760416666666664,0.043619791666666664,0.033854166666666664,0.115234375,-0.005859375,0.00390625,0.009765625,0.8656517964006079,1.1551418224510468,0.32768077221657554,0.3785277885950097,0.29378276129761943,0.03633456759982639,0.04171710544162327,0.03270806206597222,0.12018458048502605,0.0742671009771987,0.08403908794788274,0.06254071661237785,0.2026058631921824,aggregate
REAL,RAW,41,PAYLOAD,25,0,5,0,0.038411458333333336,0.037109375,0.029947916666666668,0.10546875,0.0013020833333333356,0.008463541666666668,0.007161458333333332,1.0350598271597453,0.9660765441767482,0.36419407776479357,0.35184851580666493,0.2839479250369577,0.03693601820203993,0.035732269287109375,0.029051038953993066,0.1099700927734375,0.07166123778501629,0.07231270358306188,0.05863192182410423,0.19087947882736156,aggregate
REAL,RAW,42,PAYLOAD,26,1,5,0,0.03515625,0.041015625,0.032552083333333336,0.10872395833333333,-0.005859375,0.0026041666666666644,0.008463541666666664,0.8571219596931732,1.1666334824253888,0.3233503193647273,0.3772420392588485,0.299398443856229,0.0339202880859375,0.039333343505859375,0.03149244520399305,0.10992389255099826,0.06775244299674267,0.08078175895765473,0.06514657980456026,0.19283387622149836,aggregate
REAL,RAW,43,PAYLOAD,27,2,5,1,0.031901041666666664,0.030598958333333332,0.035807291666666664,0.09830729166666667,0.0013020833333333322,-0.00390625,-0.005208333333333332,1.0425191210772344,0.9591536069399947,0.3245000103840003,0.3112551120009799,0.36423470553306153,0.030883365207248267,0.02966266208224826,0.03452512953016495,0.09385130140516496,0.06254071661237785,0.05863192182410423,0.06905537459283388,0.1732899022801303,aggregate
REAL,RAW,44,PAYLOAD,28,3,5,1,0.028645833333333332,0.034505208333333336,0.048828125,0.11197916666666667,-0.0058593750000000035,-0.020182291666666668,-0.014322916666666664,0.8301646201347824,1.2045034064265394,0.25581166903067654,0.3081367831505877,0.43604261766592595,0.027825249565972227,0.033314598931206606,0.046443939208984375,0.11506483289930558,0.05472312703583062,0.06644951140065146,0.08599348534201955,0.19804560260586318,aggregate
REAL,RAW,45,PAYLOAD,29,4,5,0,0.0390625,0.033203125,0.027994791666666668,0.10026041666666667,0.005859375,0.011067708333333332,0.005208333333333332,1.1764351567764546,0.8499782405570417,0.3896065036650024,0.331165528115252,0.2792179942932517,0.03753662109375,0.032100677490234375,0.027211083306206595,0.10843743218315972,0.0742671009771987,0.06384364820846905,0.056026058631921824,0.19153094462540718,aggregate
REAL,RAW,46,PAYLOAD,30,0,6,1,0.03515625,0.041666666666666664,0.029296875,0.10611979166666667,-0.006510416666666664,0.005859375,0.012369791666666664,0.8437297504859884,1.1851514742099187,0.33128522175398395,0.3926343368936106,0.27607101812831997,0.0339202880859375,0.03993055555555557,0.028438568115234375,0.10918129814995658,0.06905537459283388,0.07882736156351791,0.05732899022801303,0.1973941368078176,aggregate
REAL,RAW,47,PAYLOAD,31,1,6,0,0.037760416666666664,0.03515625,0.03125,0.10416666666666667,0.0026041666666666644,0.006510416666666664,0.00390625,1.0740435235027388,0.9310098270500975,0.36249652003340765,0.3374967600311037,0.2999971200276477,0.036334567599826395,0.0339202880859375,0.0302734375,0.1037326388888889,0.07166123778501629,0.06905537459283388,0.06254071661237785,0.19022801302931597,aggregate
REAL,RAW,48,PAYLOAD,32,2,6,1,0.040364583333333336,0.029947916666666668,0.030598958333333332,0.10091145833333333,0.010416666666666668,0.009765625000000003,-0.0006510416666666644,1.3477810827881922,0.7419171034730494,0.3999960361683126,0.2967712526410061,0.30322280161146276,0.03873528374565973,0.029051038953993066,0.029662662082248256,0.09854083591037326,0.0781758957654723,0.05993485342019544,0.06123778501628664,0.18631921824104233,aggregate
REAL,RAW,49,PAYLOAD,33,3,6,0,0.03515625,0.039713541666666664,0.033203125,0.10807291666666667,-0.004557291666666664,0.001953125,0.006510416666666664,0.8852236114185715,1.1295974988563287,0.32529819483116107,0.36746647934631155,0.30722607289609655,0.0339202880859375,0.03813637627495659,0.032100677490234375,0.11462232801649304,0.07035830618892508,0.0742671009771987,0.06514657980456026,0.19413680781758957,aggregate
REAL,RAW,50,PAYLOAD,34,4,6,1,0.028645833333333332,0.0390625,0.031901041666666664,0.099609375,-0.010416666666666668,-0.003255208333333332,0.007161458333333336,0.733314560480585,1.3635887619923086,0.28757881228068194,0.39215292583729355,0.32025822276712307,0.027825249565972227,0.03753662109375,0.03088336520724827,0.09749984741210938,0.05472312703583062,0.07166123778501629,0.05993485342019544,0.18110749185667752,aggregate
REAL,RAW,51,PAYLOAD,35,0,7,0,0.037109375,0.043619791666666664,0.035807291666666664,0.11653645833333333,-0.006510416666666664,0.0013020833333333356,0.0078125,0.8507267654281836,1.1754069223678463,0.31843302171440585,0.37429846412044193,0.3072599332331986,0.035732269287109375,0.04171710544162327,0.03452512953016495,0.11988279554578994,0.07166123778501629,0.08729641693811074,0.06775244299674267,0.21237785016286645,aggregate
REAL,RAW,52,PAYLOAD,36,1,7,1,0.039713541666666664,0.034505208333333336,0.033854166666666664,0.10807291666666667,0.005208333333333329,0.005859375,0.0006510416666666713,1.1509100415504938,0.8688305815774869,0.36746647934631155,0.3192741541861396,0.31325011354111804,0.03813637627495659,0.033314598931206606,0.03270806206597222,0.10290357801649304,0.0781758957654723,0.06644951140065146,0.06514657980456026,0.19543973941368079,aggregate
REAL,RAW,53,PAYLOAD,37,2,7,0,0.038411458333333336,0.031901041666666664,0.03515625,0.10546875,0.006510416666666671,0.0032552083333333356,-0.0032552083333333356,1.2040438895629721,0.8304868537659764,0.36419407776479357,0.30246626797415055,0.33333017286947203,0.036936018202039934,0.030883365207248267,0.0339202880859375,0.11648050944010417,0.0742671009771987,0.06254071661237785,0.06905537459283388,0.19153094462540718,aggregate
REAL,RAW,54,PAYLOAD,38,3,7,1,0.028645833333333332,0.041015625,0.03125,0.10091145833333333,-0.012369791666666668,-0.002604166666666668,0.009765625,0.698395670861104,1.431768200091924,0.2838681547000928,0.4064475851387692,0.3096743505819194,0.027825249565972224,0.039333343505859375,0.0302734375,0.09984291924370658,0.05732899022801303,0.08078175895765473,0.05732899022801303,0.19153094462540718,aggregate
