dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
REAL,RAW,34,PAYLOAD,30,0,J,6,1,512.0,0.09375,0.0927734375,0.3045873232752801,3.1945725952293538,9.735844875346261,0.18395303326810175,0.033203125,0.033203125,0.02734375,0.032100677490234375,0.032100677490234375,0.0265960693359375,0.06653620352250489,0.06653620352250489,0.050880626223091974
REAL,RAW,35,PAYLOAD,31,1,A,6,0,512.0,0.119140625,0.12447738647460938,0.3528135293247828,2.995454542844132,8.769481758813953,0.2191780821917808,0.044921875,0.03125,0.04296875,0.042903900146484375,0.0302734375,0.0411224365234375,0.09001956947162426,0.05870841487279843,0.0821917808219178
REAL,RAW,36,PAYLOAD,32,2,N,6,1,512.0,0.109375,0.113037109375,0.33620991861484395,3.101006350936784,9.438650177964163,0.19765166340508805,0.0546875,0.0234375,0.03125,0.05169677734375,0.02288818359375,0.0302734375,0.10176125244618395,0.04500978473581213,0.06262230919765166
REAL,RAW,37,PAYLOAD,33,3,U,6,0,512.0,0.115234375,0.12148666381835938,0.34854937070429404,3.07716097860145,9.33399276535322,0.2054794520547945,0.048828125,0.021484375,0.044921875,0.046443939208984375,0.021022796630859375,0.042903900146484375,0.09784735812133072,0.03913894324853229,0.08414872798434442
REAL,RAW,38,PAYLOAD,34,4,S,6,1,512.0,0.0625,0.06640625,0.2576941016011038,4.280040441817641,19.06574394463668,0.11741682974559686,0.025390625,0.015625,0.021484375,0.024745941162109375,0.015380859375,0.021022796630859375,0.050880626223091974,0.03131115459882583,0.043052837573385516
REAL,RAW,39,PAYLOAD,35,0,J,7,0,512.0,0.13671875,0.1531829833984375,0.39138597751891613,3.144457002976816,11.169938762880939,0.26614481409001955,0.0546875,0.029296875,0.052734375,0.05169677734375,0.028438568115234375,0.049953460693359375,0.1095890410958904,0.05870841487279843,0.10176125244618395
REAL,RAW,40,PAYLOAD,36,1,A,7,1,512.0,0.091796875,0.09508895874023438,0.3083649765136021,3.410156849245337,11.624481659511122,0.1761252446183953,0.0234375,0.02734375,0.041015625,0.02288818359375,0.0265960693359375,0.039333343505859375,0.046966731898238745,0.0547945205479452,0.07827788649706457
REAL,RAW,41,PAYLOAD,37,2,N,7,0,512.0,0.12890625,0.1122894287109375,0.3350961484573308,2.2148493899938284,2.9055578203560284,0.22896281800391388,0.048828125,0.029296875,0.05078125,0.046443939208984375,0.028438568115234375,0.0482025146484375,0.09393346379647749,0.05675146771037182,0.09784735812133072
REAL,RAW,42,PAYLOAD,38,3,U,7,1,512.0,0.07421875,0.0765228271484375,0.27662759650555024,3.78911100241763,14.510108995048743,0.13307240704500978,0.021484375,0.0234375,0.029296875,0.021022796630859375,0.02288818359375,0.028438568115234375,0.03913894324853229,0.03913894324853229,0.05870841487279843
REAL,RAW,43,PAYLOAD,39,4,S,7,1,512.0,0.08203125,0.0753021240234375,0.2744123248388044,3.046282635049453,7.279837892603847,0.15655577299412915,0.033203125,0.0234375,0.025390625,0.032100677490234375,0.02288818359375,0.024745941162109375,0.06262230919765166,0.046966731898238745,0.046966731898238745
REAL,RAW,44,PAYLOAD,40,0,J,8,0,512.0,0.12109375,0.1181488037109375,0.34372780468117137,2.746866451836604,6.920487155087727,0.22309197651663404,0.060546875,0.03125,0.029296875,0.056880950927734375,0.0302734375,0.028438568115234375,0.12133072407045009,0.05870841487279843,0.05870841487279843
REAL,RAW,45,PAYLOAD,41,1,A,8,1,512.0,0.083984375,0.07693099975585938,0.27736438083477727,2.999776854893388,6.998661179154066,0.1487279843444227,0.021484375,0.015625,0.046875,0.021022796630859375,0.015380859375,0.044677734375,0.043052837573385516,0.023483365949119372,0.09393346379647749
REAL,RAW,46,PAYLOAD,42,2,N,8,0,512.0,0.146484375,0.13674545288085938,0.3697910935661639,2.341519331168203,4.544248097794428,0.24853228962818003,0.0625,0.0390625,0.044921875,0.05859375,0.03753662109375,0.042903900146484375,0.11154598825831702,0.07827788649706457,0.0821917808219178
REAL,RAW,47,PAYLOAD,43,3,U,8,1,512.0,0.08984375,0.0895843505859375,0.2993064492889144,3.297269419499909,10.501577303265307,0.1761252446183953,0.046875,0.009765625,0.033203125,0.044677734375,0.009670257568359375,0.032100677490234375,0.09393346379647749,0.019569471624266144,0.06653620352250489
REAL,RAW,48,PAYLOAD,44,4,S,8,1,512.0,0.087890625,0.08797836303710938,0.29661146814833267,3.351234303213892,10.913868457591668,0.15655577299412915,0.029296875,0.017578125,0.041015625,0.028438568115234375,0.017269134521484375,0.039333343505859375,0.0547945205479452,0.03522504892367906,0.07827788649706457
REAL,POST_Q1_1,0,HEADER,-1,-1,,-1,0,247.0,0.1700404858299595,0.14112671900867088,0.37566836306597723,1.7566531899418467,1.0858304297328676,0.2764227642276423,0.06882591093117409,0.020242914979757085,0.08097165991902834,0.06408890491566815,0.019833139372879418,0.0744152502089856,0.13008130081300814,0.04065040650406504,0.13821138211382114
REAL,POST_Q1_1,1,HEADER,-1,-1,,-1,1,255.0,0.09019607843137255,0.09774702037677818,0.3126451988705059,3.6018141695340207,13.269892503567434,0.16535433070866143,0.047058823529411764,0.0196078431372549,0.023529411764705882,0.04484429065743943,0.01922337562475971,0.0229757785467128,0.08661417322834646,0.03937007874015748,0.047244094488188976
REAL,POST_Q1_1,2,HEADER,-1,-1,,-1,0,246.0,0.17886178861788618,0.1631304117919228,0.4038940601097308,2.039643572254538,3.170259056605259,0.31020408163265306,0.06910569105691057,0.02032520325203252,0.08943089430894309,0.06433009452045739,0.01991208936479609,0.08143300945204575,0.1346938775510204,0.0326530612244898,0.17551020408163265
REAL,POST_Q1_1,3,HEADER,-1,-1,,-1,1,246.0,0.08943089430894309,0.08956309075285873,0.2992709320212351,3.323309547580405,10.727370270012667,0.17959183673469387,0.04065040650406504,0.036585365853658534,0.012195121951219513,0.03899795095511932,0.035246876859012496,0.012046400951814393,0.08163265306122448,0.07346938775510205,0.024489795918367346
REAL,POST_Q1_1,4,PAYLOAD,0,0,J,0,0,226.0,0.2168141592920354,0.19635445218889502,0.443119004544936,1.8222474793265993,2.3834423695065325,0.3377777777777778,0.10176991150442478,0.04424778761061947,0.07079646017699115,0.09141279661680635,0.042289920902184974,0.06578432140339885,0.17777777777777778,0.08888888888888889,0.12444444444444444
