dataset,mode,sequence_index,bit_true,bit_pred,d0,d1,margin_d0_minus_d1
REAL,POST_Q1_1,26,1,1,8.18316496668272,5.40894305181047,2.774221914872249
REAL,POST_Q1_1,27,0,0,3.7440330464449114,5.137356809602866,-1.3933237631579547
REAL,POST_Q1_1,28,0,0,8.108045697847073,9.390922556821586,-1.2828768589745128
REAL,POST_Q1_1,29,0,0,4.773809808263554,5.753984659974659,-0.9801748517111051
REAL,POST_Q1_1,30,0,0,3.5358728139833637,3.7530902242746875,-0.2172174102913238
REAL,POST_Q1_1,31,1,1,8.6047282316654,4.32592753921613,4.27880069244927
REAL,POST_Q1_1,32,1,1,5.9781170112801,1.4581500278611748,4.519966983418925
REAL,POST_Q1_1,33,0,0,9.286807126035526,9.593913102967825,-0.3071059769322986
REAL,POST_Q1_1,34,1,1,7.759614234412624,3.1636174247039768,4.595996809708648
REAL,POST_Q1_1,35,0,0,7.1060493390117925,7.480697865909207,-0.37464852689741424
REAL,POST_Q1_1,36,1,1,4.742678224995955,2.4135808215669816,2.3290974034289733
REAL,POST_Q1_1,37,0,0,2.8029872692829967,5.099841758013597,-2.2968544887306006
REAL,POST_Q1_1,38,1,1,8.007779213786593,3.6629393379439597,4.344839875842633
REAL,POST_Q1_1,39,0,0,7.04663830778821,8.678955157576226,-1.6323168497880163
REAL,POST_Q1_1,40,1,1,7.143620563678645,2.999030242725923,4.144590320952723
REAL,POST_Q1_1,41,0,0,7.044279068990748,7.814307820744881,-0.7700287517541335
REAL,POST_Q1_1,42,1,1,8.222259366325224,3.123802012496552,5.098457353828671
REAL,POST_Q1_1,43,1,1,6.508019114579551,2.7890775853165564,3.718941529262995
REAL,POST_Q1_1,44,0,0,7.7733308485677926,8.34342903576366,-0.5700981871958666
REAL,POST_Q1_1,45,1,1,7.677776686775999,3.6699980892769557,4.007778597499044
REAL,POST_Q1_1,46,0,0,7.843797697613196,9.458516409063547,-1.614718711450351
REAL,POST_Q1_1,47,1,1,5.299638307019406,4.396296244055794,0.9033420629636124
REAL,POST_Q1_1,48,1,1,5.884853857877986,2.473114641696041,3.411739216181945
